"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01293099999","2024-01-01","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  19.1","24","   9.0","24","1016.5","24","994.7","24","999.9"," 0","  8.6","24"," 13.6","999.9","  23.4"," ","  13.1"," "," 0.00","G"," 10.6","000000"
"01293099999","2024-01-02","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  14.0","24","   2.3","24","1016.8","24","994.7","24","999.9"," 0","  8.9","24"," 15.5","999.9","  17.2"," ","  10.4"," "," 0.00","G"," 10.2","000000"
"01293099999","2024-01-03","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  12.9","21","   1.3","21","1012.1","21","990.1","21","999.9"," 0","  8.8","21"," 15.5","999.9","  14.9"," ","   6.8"," "," 0.00","G"," 10.2","000000"
"01293099999","2024-01-04","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","   6.0","24","  -3.8","24","1012.8","24","990.4","24","999.9"," 0","  5.3","24","  9.7","999.9","  13.6"," ","  -8.1"," "," 0.00","G","  9.8","000000"
"01293099999","2024-01-05","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","   5.9","24","   1.4","24","1014.8","24","992.4","24","999.9"," 0","  1.5","24","  3.9","999.9","  15.4"," ","  -9.2"," "," 0.00","G","  9.8","000000"
"01293099999","2024-01-06","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  12.4","24","  10.0","24","1023.4","24","001.1","24","999.9"," 0","  1.4","24","  1.9","999.9","  19.9"," ","   3.2"," "," 0.00","G","  9.8","000000"
"01293099999","2024-01-07","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","   1.0","24","  -2.0","24","1033.6","24","010.5","24","999.9"," 0","  1.8","24","  3.9","999.9","  10.6"," ","  -4.5"," "," 0.00","G","  9.8","000000"
"01293099999","2024-01-08","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  32.1","24","  31.4","24","1034.9","24","013.2","24","999.9"," 0","  2.4","24","  3.9","999.9","  36.1"," ","  14.4","*"," 0.02","G","  9.4","000000"
"01293099999","2024-01-09","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  37.0","24","  35.9","24","1034.8","24","013.4","24","999.9"," 0","  2.8","24","  5.8","999.9","  39.0"," ","  33.6"," "," 0.24","G","  8.3","000000"
"01293099999","2024-01-10","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  38.2","24","  36.1","24","1030.9","24","009.6","24","999.9"," 0","  4.6","24","  9.7","999.9","  40.3"," ","  35.6"," "," 0.15","G","  7.1","000000"
"01293099999","2024-01-11","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  37.2","24","  35.7","24","1028.9","24","007.6","24","999.9"," 0","  4.3","24","  7.8","999.9","  40.6"," ","  35.2"," "," 0.54","G","  5.1","000000"
