age,gender,subscription_type,watch_hours,last_login_days,region,device,monthly_fee,churned,payment_method,number_of_profiles,avg_watch_time_per_day,favorite_genre
51,Other,Basic,14.73,29,Africa,TV,8.99,1,Gift Card,1,0.49,Action
47,Other,Standard,0.7,19,Europe,Mobile,13.99,1,Gift Card,5,0.03,Sci-Fi
27,Female,Standard,16.32,10,Asia,TV,13.99,0,Crypto,2,1.48,Drama
53,Other,Premium,4.51,12,Oceania,TV,17.99,1,Crypto,2,0.35,Horror
56,Other,Standard,1.89,13,Africa,Mobile,13.99,1,Crypto,2,0.13,Action
58,Female,Standard,13.8,26,Oceania,Mobile,13.99,0,Debit Card,3,0.51,Action
48,Other,Basic,13.83,20,Asia,TV,8.99,0,Gift Card,5,0.66,Romance
51,Male,Basic,14.3,56,Europe,Mobile,8.99,1,Gift Card,1,0.25,Action
45,Other,Basic,9.98,10,Asia,Mobile,8.99,0,PayPal,3,0.91,Romance
32,Other,Premium,2.22,34,Europe,TV,17.99,1,Debit Card,1,0.06,Drama
26,Male,Premium,15.42,36,Asia,Laptop,17.99,0,Debit Card,4,0.42,Comedy
28,Other,Standard,22.26,38,South America,Mobile,13.99,0,Crypto,5,0.57,Horror
47,Other,Standard,7.92,23,South America,TV,13.99,0,Crypto,1,0.33,Sci-Fi
49,Female,Basic,5.26,33,South America,Mobile,8.99,1,Crypto,3,0.15,Documentary
39,Female,Basic,10.97,10,Oceania,Mobile,8.99,0,PayPal,1,1.0,Comedy
32,Female,Premium,40.94,7,South America,Desktop,17.99,0,Crypto,1,5.12,Action
46,Other,Premium,1.25,13,Europe,Tablet,17.99,1,Debit Card,3,0.09,Comedy
48,Female,Standard,8.12,32,Africa,Desktop,13.99,1,Crypto,2,0.25,Action
68,Female,Premium,7.67,40,Oceania,Tablet,17.99,0,PayPal,4,0.19,Romance
21,Female,Standard,15.53,27,South America,Laptop,13.99,0,Credit Card,1,0.55,Comedy
60,Male,Basic,31.9,4,Oceania,Tablet,8.99,0,Crypto,2,6.38,Comedy
70,Other,Premium,7.97,57,Europe,Laptop,17.99,1,Gift Card,5,0.14,Drama
53,Other,Standard,43.02,43,South America,Tablet,13.99,0,Crypto,1,0.98,Action
36,Other,Standard,34.6,19,Oceania,Tablet,13.99,0,Crypto,3,1.73,Action
55,Other,Basic,24.58,18,Asia,Desktop,8.99,0,Debit Card,1,1.29,Documentary
45,Female,Standard,7.39,6,Oceania,TV,13.99,0,PayPal,1,1.06,Romance
24,Male,Premium,6.92,13,Africa,Desktop,17.99,0,Crypto,2,0.49,Action
30,Other,Premium,1.37,55,North America,Mobile,17.99,1,Debit Card,1,0.02,Horror
69,Female,Basic,24.56,53,Oceania,Laptop,8.99,1,Gift Card,1,0.45,Action
47,Other,Standard,15.87,52,Africa,Laptop,13.99,1,Crypto,1,0.3,Sci-Fi
49,Female,Standard,7.62,27,Asia,TV,13.99,0,Debit Card,3,0.27,Action
67,Male,Standard,3.05,29,Oceania,Tablet,13.99,1,PayPal,1,0.1,Drama
23,Female,Premium,13.31,34,Africa,Mobile,17.99,1,Debit Card,2,0.38,Romance
67,Male,Basic,1.56,0,Oceania,Desktop,8.99,0,Crypto,5,1.56,Documentary
